Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,98.748605,-101.616633,-90.0,top
D1,D,Diode_TH_SOD123,100.571305,-90.646557,-90.0,top
D2,SK6812MINI,YS-SK6812MINI-E-bkb,112.948757,-96.07285,170.0,top
D4,SK6812MINI,YS-SK6812MINI-E-bkb,91.303316,-94.168091,180.0,top
D5,D,Diode_TH_SOD123,107.839598,-68.379856,-102.0,top
D7,SK6812MINI,YS-SK6812MINI-E-bkb,70.156727,-75.515293,16.0,top
D9,D,Diode_TH_SOD123,104.185257,-90.694604,-95.0,top
D10,SK6812MINI,YS-SK6812MINI-E-bkb,93.335314,-72.324092,0.0,top
D12,SK6812MINI,YS-SK6812MINI-E-bkb,114.421956,-74.228844,-10.0,top
D14,D,Diode_TH_SOD123,77.776876,-68.509229,-75.0,top
D19,D,Diode_TH_SOD123,84.162799,-67.952468,-89.0,top
J1,Conn_01x06_Female,PinHeader_1x06_P2.54mm_Vertical,103.190505,-71.126488,0.0,top
J2,Conn_01x03_Female,PinHeader_1x03_P2.54mm_Vertical,101.210125,-100.30969,180.0,bottom
J3,Conn_01x01_Female,PinHeader_1x01_P2.54mm_Vertical,119.520924,-77.351808,169.0,bottom
SW1,SW_Push,SW_MX_KS_Choc-mod,91.303303,-99.16809,0.0,top
SW5,SW_Push,SW_MX_KS_Choc-mod,113.553714,-79.152885,-10.0,top
SW9,SW_Push,SW_MX_KS_Choc-mod,112.080518,-100.99689,-10.0,top
SW14,SW_Push,SW_MX_KS_Choc-mod,71.54211,-80.321285,16.0,top
SW19,SW_Push,SW_MX_KS_Choc-mod,93.335313,-77.324091,0.0,top
