Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,87.943072,-100.604058,-90.0,top
D1,D,Diode_TH_SOD123,85.598035,-88.830938,-90.0,top
D2,SK6812MINI,YS-SK6812MINI-E-bkb,73.220575,-94.257237,10.0,top
D4,SK6812MINI,YS-SK6812MINI-E-bkb,94.866015,-92.352481,0.0,top
D5,D,Diode_TH_SOD123,78.329743,-66.564252,-80.0,top
D7,SK6812MINI,YS-SK6812MINI-E-bkb,116.01261,-73.699679,164.0,top
D9,D,Diode_TH_SOD123,82.421495,-88.979212,-84.0,top
D10,SK6812MINI,YS-SK6812MINI-E-bkb,92.834021,-70.508481,180.0,top
D12,SK6812MINI,YS-SK6812MINI-E-bkb,71.747376,-72.413227,-170.0,top
D14,D,Diode_TH_SOD123,108.392456,-66.693614,-103.0,top
D19,D,Diode_TH_SOD123,102.006531,-66.136856,-90.0,top
J1,Conn_01x06_Female,PinHeader_1x06_P2.54mm_Vertical,82.978829,-69.310874,0.0,top
J2,Conn_01x03_Female,PinHeader_1x03_P2.54mm_Vertical,84.959214,-98.494083,0.0,top
J3,Conn_01x01_Female,PinHeader_1x01_P2.54mm_Vertical,66.648413,-75.5362,11.0,top
SW1,SW_Push,SW_MX_KS_Choc-mod,94.866022,-97.352476,0.0,top
SW5,SW_Push,SW_MX_KS_Choc-mod,72.615629,-77.337273,10.0,top
SW9,SW_Push,SW_MX_KS_Choc-mod,74.088825,-99.181277,10.0,top
SW14,SW_Push,SW_MX_KS_Choc-mod,114.627226,-78.505675,-16.0,top
SW19,SW_Push,SW_MX_KS_Choc-mod,92.834019,-75.508476,0.0,top
